# CIRCUITO 10-502 — PARÁMETROS DE LÍNEAS
# Fuente: Datos Circuito 10 502 - 2026.xlsx / hoja 'Líneas '
# Unidades: Length[km], Rtd.Current[kA], R1/X1/R0/X0[Ohm], B1/B0[uS]
#====================================================================================================
Name	In_Folder	Grid	Terminal_i	Terminal_j	Length_km	Conductor	In_kA	R1	X1	B1	R0	X0	B0
5154	10 502	10 502	1067176A	1067184A	0.0415	3F_15_ACSR_2/0_AIRE	0.275	0.0172	0.0186	0.1598	0.0303	0.0773	0.0733
5155	1067184	10 502	1067184A	1067184B	0.0012	3F_15_ACSR_2/0_AIRE	0.275	0.0005	0.0005	0.0046	0.0009	0.0022	0.0021
5156	10 502	10 502	1067184B	1067192A	0.0589	3F_15_ACSR_2/0_AIRE	0.275	0.0244	0.0264	0.2265	0.043	0.1096	0.1038
5157	10 502	10 502	1067192A	1067206A	0.0649	3F_15_ACSR_2/0_AIRE	0.275	0.0269	0.0291	0.2496	0.0474	0.1208	0.1144
5158	10 502	10 502	1067206A	1067214A	0.0677	3F_15_ACSR_2/0_AIRE	0.275	0.0281	0.0303	0.2604	0.0494	0.126	0.1194
5280	10 502	10 502	1067214A	1101251A	0.027	3F_15_ACSR_2/0_AIRE	0.275	0.0112	0.0121	0.104	0.0197	0.0503	0.0477
5281	10 502	10 502	1101251D	1101277A	0.0313	3F_15_ACSR_1/0_AIRE	0.241	0.0164	0.0143	0.1179	0.0262	0.0586	0.0547
5282	10 502	10 502	1101277A	3769721	0.0529	3F_15_ACSR_1/0_AIRE	0.241	0.0276	0.0241	0.1993	0.0443	0.0989	0.0924
5283	10 502	10 502	3769721	1101293A	0.0685	3F_15_ACSR_1/0_AIRE	0.241	0.0358	0.0313	0.2579	0.0574	0.128	0.1196
5284	1101293	10 502	1101293A	1101293B	0.0012	3F_15_ACSR_1/0_AIRE	0.241	0.0006	0.0005	0.0045	0.001	0.0022	0.0021
5285	10 502	10 502	1101293B	1101307A	0.058	3F_15_ACSR_1/0_AIRE	0.241	0.0303	0.0265	0.2185	0.0486	0.1085	0.1013
5286	1101307	10 502	1101307A	1101307B	0.0012	3F_15_ACSR_1/0_AIRE	0.241	0.0006	0.0005	0.0045	0.001	0.0022	0.0021
5287	10 502	10 502	1101307B	1101315A	0.0666	3F_15_ACSR_1/0_AIRE	0.241	0.0348	0.0304	0.2508	0.0558	0.1245	0.1163
5288	10 502	10 502	1101315A	1101323	0.0583	3F_15_ACSR_1/0_AIRE	0.241	0.0305	0.0266	0.2196	0.0489	0.109	0.1018
5289	10 502	10 502	1101323	1101331	0.0532	3F_15_ACSR_1/0_AIRE	0.241	0.0278	0.0243	0.2003	0.0446	0.0995	0.0929
5290	10 502	10 502	1101331	1101340A	0.0689	3F_15_ACSR_1/0_AIRE	0.241	0.036	0.0314	0.2595	0.0577	0.1288	0.1203
5291	10 502	10 502	1101340A	1045288	0.0122	3F_15_ACSR_1/0_AIRE	0.241	0.0064	0.0056	0.0459	0.0102	0.0228	0.0213
5292	10 502	10 502	1045288	1101358	0.0368	3F_15_ACSR_1/0_AIRE	0.241	0.0193	0.0168	0.1388	0.0309	0.0689	0.0644
5294	10 502	10 502	1101358	1101374A	0.0736	3F_15_ACSR_1/0_AIRE	0.241	0.0385	0.0336	0.2774	0.0617	0.1377	0.1286
5295	10 502	10 502	1101374A	1101382A	0.0557	3F_15_ACSR_1/0_AIRE	0.241	0.0291	0.0254	0.2097	0.0467	0.1041	0.0973
5296	10 502	10 502	1101382A	1101391A	0.0513	3F_15_ACSR_1/0_AIRE	0.241	0.0268	0.0234	0.1931	0.043	0.0959	0.0895
5297	10 502	10 502	1101404A	1101412	0.0539	3F_15_ACSR_1/0_AIRE	0.241	0.0282	0.0246	0.2031	0.0452	0.1009	0.0942
5298	10 502	10 502	1101412	1101421A	0.0506	3F_15_ACSR_1/0_AIRE	0.241	0.0264	0.0231	0.1905	0.0424	0.0946	0.0883
5299	1101421	10 502	1101421A	1101421B	0.0012	3F_15_ACSR_1/0_AIRE	0.241	0.0006	0.0005	0.0045	0.001	0.0022	0.0021
5300	10 502	10 502	1101421B	1101447D	0.0397	3F_15_ACSR_1/0_AIRE	0.241	0.0207	0.0181	0.1494	0.0332	0.0742	0.0693
5304	10 502	10 502	1101480B	1065971D	0.0426	3F_15_ACSR_1/0_AIRE	0.241	0.0223	0.0194	0.1605	0.0357	0.0797	0.0744
5373	10 502	10 502	1101404A	1101391A	0.0851	3F_15_ACSR_1/0_AIRE	0.241	0.0445	0.0388	0.3205	0.0713	0.1591	0.1486
714206	10 502	10 502	1067087C	4249330	0.012	3F_15_CU_2_XLPE	0.155	0.0079	0.0051	0	0.0131	0.0049	0
714207	10 502	10 502	4249330	4249348	0.0085	3F_15_CU_2_XLPE	0.155	0.0056	0.0036	0	0.0093	0.0035	0
714208	10 502	10 502	4249348	4249356	0.0111	3F_15_CU_2_XLPE	0.155	0.0073	0.0047	0	0.0122	0.0045	0
714209	10 502	10 502	4249356	4249372A	0.0025	3F_15_CU_2_XLPE	0.155	0.0017	0.0011	0	0.0028	0.001	0
714525	10 502	10 502	4938216A	2214148	0.0133	3F_15_CU_2/0_XLPE	0.23	0.0045	0.0021	0	0.007	0.0053	0
717305	10 502	10 502	1154508	1026682	0.0122	3F_15_ACSR_2_AIRE	0.184	0.0101	0.0058	0.0441	0.014	0.023	0.0209
717306	10 502	10 502	1026666A	1026682	0.0063	3F_15_ACSR_2_AIRE	0.184	0.0052	0.003	0.0226	0.0072	0.0118	0.0107
720189	10 502	10 502	1067079F	5605024	0.012	3F_15_CU_2_XLPE	0.155	0.0079	0.0051	0	0.0131	0.0049	0
720190	10 502	10 502	5605024	5605032	0.0097	3F_15_CU_2_XLPE	0.155	0.0064	0.0041	0	0.0106	0.004	0
720191	10 502	10 502	5605032	4249330	0.0107	3F_15_CU_2_XLPE	0.155	0.007	0.0046	0	0.0117	0.0044	0
720192	10 502	10 502	4249330	4249348	0.0085	3F_15_CU_2_XLPE	0.155	0.0056	0.0036	0	0.0093	0.0035	0
720193	10 502	10 502	4249348	1283235	0.0122	3F_15_CU_2_XLPE	0.155	0.008	0.0052	0	0.0134	0.005	0
720194	10 502	10 502	5604524A	1283235	0.0104	3F_15_CU_2_XLPE	0.155	0.0069	0.0045	0	0.0114	0.0043	0
725649	10 502	10 502	8338973A	8339694	0.0023	3F_15_CU_2_XLPE	0.155	0.0015	0.001	0	0.0026	0.001	0
725650	10 502	10 502	8339694	8339155	0.0026	3F_15_CU_2_XLPE	0.155	0.0017	0.0011	0	0.0029	0.0011	0
725659	10 502	10 502	8339155	8339708	0.0128	3F_15_CU_2_XLPE	0.155	0.0084	0.0054	0	0.014	0.0052	0
725660	10 502	10 502	8339708	1154508	0.0116	3F_15_CU_2_XLPE	0.155	0.0076	0.0049	0	0.0127	0.0047	0
741064	10 502	10 502	1155245	1155270	0.02	3F_15_CU_2_XLPE	0.155	0.0131	0.0085	0	0.0219	0.0082	0
747634	4249372	10 502	4249372B	4249372D	0.0012	3F_15_CU_2_XLPE	0.155	0.0008	0.0005	0	0.0013	0.0005	0
764757	10 502	10 502	1067052F	9500758	0.012	3F_15_CU_2_XLPE	0.155	0.0079	0.0051	0	0.0131	0.0049	0
764758	10 502	10 502	9500758	9500766	0.021	3F_15_CU_2_XLPE	0.155	0.0138	0.0089	0	0.023	0.0086	0
764759	10 502	10 502	9500766	9500774	0.0221	3F_15_CU_2_XLPE	0.155	0.0145	0.0094	0	0.0243	0.009	0
764760	10 502	10 502	9500774	8795266A	0.0064	3F_15_CU_2_XLPE	0.155	0.0042	0.0027	0	0.007	0.0026	0
783432	1154176	10 502	1154176A	1154176C	0.0012	3F_15_CU_2_XLPE	0.155	0.0008	0.0005	0	0.0013	0.0005	0
783433	1154176	10 502	1154176D	1154176B	0.0012	3F_15_CU_2_XLPE	0.155	0.0008	0.0005	0	0.0013	0.0005	0
791042	10 502	10 502	1101404B	1618750	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
791043	10 502	10 502	1618750	1618741	0.0029	3F_15_CU_2_XLPE	0.155	0.0019	0.0012	0	0.0032	0.0012	0
791044	10 502	10 502	1618741	1618733	0.0434	3F_15_CU_2_XLPE	0.155	0.0285	0.0185	0	0.0475	0.0177	0
791045	10 502	10 502	1618733	9219013A	0.0087	3F_15_CU_2_XLPE	0.155	0.0057	0.0037	0	0.0095	0.0035	0
796468	1155679	10 502	1155679A	1155679B	0.0012	3F_15_CU_2_XLPE	0.155	0.0008	0.0005	0	0.0013	0.0005	0
802784	1101251	10 502	1101251A	1101251E	0.0012	3F_15_ACSR_2/0_AIRE	0.275	0.0005	0.0005	0.0046	0.0009	0.0022	0.0021
804306	10 502	10 502	10 502_Term	1067001C	0.014	3F_15_CU_350_XLPE	0.39	0.002	0.0018	0	0.0028	0.0047	0
806782	1154290	10 502	1154290B	1154290C	0.0012	3F_15_CU_2_XLPE	0.155	0.0008	0.0005	0	0.0013	0.0005	0
806799	10 502	10 502	1154290C	1154281A	0.004	3F_15_CU_2_XLPE	0.155	0.0026	0.0017	0	0.0043	0.0016	0
807671	10 502	10 502	1101455G	3272567	0.016	3F_15_CU_2_XLPE	0.155	0.0105	0.0068	0	0.0175	0.0065	0
807672	10 502	10 502	3272567	3272664	0.0183	3F_15_CU_2_XLPE	0.155	0.012	0.0078	0	0.0201	0.0075	0
807673	10 502	10 502	3272664	3272761	0.0077	3F_15_CU_2_XLPE	0.155	0.0051	0.0033	0	0.0084	0.0031	0
807674	10 502	10 502	3272761	3272869	0.004	3F_15_CU_2_XLPE	0.155	0.0026	0.0017	0	0.0044	0.0016	0
807675	10 502	10 502	3272869	3272966A	0.003	3F_15_CU_2_XLPE	0.155	0.002	0.0013	0	0.0033	0.0012	0
812080	10 502	10 502	1155270	3453561	0.016	3F_15_CU_2_XLPE	0.155	0.0105	0.0068	0	0.0175	0.0065	0
812081	10 502	10 502	3453561	3453464	0.0205	3F_15_CU_2_XLPE	0.155	0.0135	0.0087	0	0.0224	0.0084	0
812082	10 502	10 502	3453464	3453367	0.0086	3F_15_CU_2_XLPE	0.155	0.0057	0.0037	0	0.0095	0.0035	0
812083	10 502	10 502	3453367	3453260A	0.0034	3F_15_CU_2_XLPE	0.155	0.0022	0.0014	0	0.0037	0.0014	0
825166	10 502	10 502	1101277B	1103431	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
825167	10 502	10 502	1103431	1103458A	0.0299	3F_15_CU_2_XLPE	0.155	0.0196	0.0127	0	0.0327	0.0122	0
828934	10 502	10 502	1101447A	1101455A	0.0493	3F_15_CU_4/0_XLPE	0.295	0.011	0.007	0	0.0165	0.0177	0
828942	10 502	10 502	1101455E	1101471A	0.0652	3F_15_CU_4/0_XLPE	0.295	0.0145	0.0092	0	0.0218	0.0233	0
828945	10 502	10 502	1101471A	1101480A	0.0708	3F_15_CU_4/0_XLPE	0.295	0.0157	0.01	0	0.0236	0.0254	0
828948	10 502	10 502	1101480A	2479567B	0.0493	3F_15_CU_4/0_XLPE	0.295	0.0109	0.007	0	0.0165	0.0177	0
830652	1101382	10 502	1101382D	1101382E	0.0012	3F_15_CU_2_XLPE	0.155	0.0008	0.0005	0	0.0013	0.0005	0
830653	10 502	10 502	1101382E	4637844	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
830654	10 502	10 502	4637844	4637852	0.0092	3F_15_CU_2_XLPE	0.155	0.0061	0.0039	0	0.0101	0.0038	0
830655	10 502	10 502	4637852	4637861	0.0205	3F_15_CU_2_XLPE	0.155	0.0135	0.0088	0	0.0225	0.0084	0
830657	10 502	10 502	4637861	4916671A	0.0114	3F_15_CU_2_XLPE	0.155	0.0075	0.0049	0	0.0125	0.0047	0
9137	10 502	10 502	1067028B	1154141	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
9138	10 502	10 502	1154141	1154150	0.021	3F_15_CU_2_XLPE	0.155	0.0138	0.009	0	0.023	0.0086	0
9139	10 502	10 502	1154150	1154133	0.043	3F_15_CU_2_XLPE	0.155	0.0282	0.0183	0	0.0471	0.0175	0
9140	10 502	10 502	1154133	1154303	0.0083	3F_15_CU_2_XLPE	0.155	0.0055	0.0035	0	0.0091	0.0034	0
9141	10 502	10 502	1067028C	1154141	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
9142	10 502	10 502	1154141	1154150	0.021	3F_15_CU_2_XLPE	0.155	0.0138	0.009	0	0.023	0.0086	0
9143	10 502	10 502	1154150	1154176A	0.0089	3F_15_CU_2_XLPE	0.155	0.0058	0.0038	0	0.0097	0.0036	0
9253	10 502	10 502	1067010C	1154079	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
9254	10 502	10 502	1154079	1154125	0.0356	3F_15_CU_2_XLPE	0.155	0.0234	0.0152	0	0.039	0.0145	0
9256	10 502	10 502	1154125	1154117	0.0127	3F_15_CU_2_XLPE	0.155	0.0083	0.0054	0	0.0139	0.0052	0
9257	10 502	10 502	1154117	1154109	0.0206	3F_15_CU_2_XLPE	0.155	0.0135	0.0088	0	0.0225	0.0084	0
9258	10 502	10 502	1154109	1154087A	0.008	3F_15_CU_2_XLPE	0.155	0.0053	0.0034	0	0.0088	0.0033	0
9264	10 502	10 502	1067036B	1154206	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
9265	10 502	10 502	1154206	1154192	0.0216	3F_15_CU_2_XLPE	0.155	0.0142	0.0092	0	0.0237	0.0088	0
9266	10 502	10 502	1154192	1154222	0.0128	3F_15_CU_2_XLPE	0.155	0.0084	0.0055	0	0.0141	0.0052	0
9267	10 502	10 502	1154222	1154231	0.0635	3F_15_CU_2_XLPE	0.155	0.0418	0.0271	0	0.0696	0.0259	0
9268	10 502	10 502	1154231	1154435A	0.0024	3F_15_CU_2_XLPE	0.155	0.0016	0.001	0	0.0026	0.001	0
9274	10 502	10 502	1067141C	1154249	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
9275	10 502	10 502	1154249	1154257	0.0039	3F_15_CU_2_XLPE	0.155	0.0025	0.0016	0	0.0042	0.0016	0
9276	10 502	10 502	1154257	1154273	0.0166	3F_15_CU_2_XLPE	0.155	0.0109	0.0071	0	0.0182	0.0068	0
9277	10 502	10 502	1154273	1154290A	0.01	3F_15_CU_2_XLPE	0.155	0.0066	0.0043	0	0.011	0.0041	0
9299	10 502	10 502	1067109C	1102958	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
9300	10 502	10 502	1102958	1102974A	0.014	3F_15_CU_2_XLPE	0.155	0.0092	0.006	0	0.0154	0.0057	0
9301	10 502	10 502	1102974A	1154508	0.0697	3F_15_CU_2_XLPE	0.155	0.0458	0.0297	0	0.0764	0.0285	0
9302	10 502	10 502	1154508	1102982A	0.0075	3F_15_CU_2_XLPE	0.155	0.0049	0.0032	0	0.0082	0.0031	0
9320	10 502	10 502	1067125C	1154443	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
9321	10 502	10 502	1154443	1154451	0.0128	3F_15_CU_2_XLPE	0.155	0.0084	0.0055	0	0.014	0.0052	0
9322	10 502	10 502	1154451	1154478	0.0184	3F_15_CU_2_XLPE	0.155	0.0121	0.0078	0	0.0201	0.0075	0
9323	10 502	10 502	1154478	1154494A	0.0243	3F_15_CU_2_XLPE	0.155	0.016	0.0104	0	0.0267	0.0099	0
9341	10 502	10 502	1067184D	1154575	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
9342	10 502	10 502	1067184C	1154575	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
