Name	In Folder	Grid	Terminal i	Terminal j	Length	Type Name	Rtd.Current	R1	X1	B1	R0	X0	B0
			Busbar	Busbar	km		kA	Ohm	Ohm	uS	Ohm	Ohm	uS
9268	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154231	1154435	0.0024	3F_15_CU_2_XLPE	0.155	0.001577	0.001023	0	0.002631	0.000981	0
9274	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067141	1154249	0.012	3F_15_CU_2_XLPE	0.155	0.007885	0.005113	0	0.013154	0.004907	0
9275	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154249	1154257	0.0039	3F_15_CU_2_XLPE	0.155	0.002563	0.001662	0	0.004275	0.001595	0
9276	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154257	1154273	0.0166	3F_15_CU_2_XLPE	0.155	0.010908	0.007073	0	0.018196	0.006788	0
9277	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154273	1154290	0.01	3F_15_CU_2_XLPE	0.155	0.006571	0.004261	0	0.010961	0.004089	0
9299	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067109	1102958	0.012	3F_15_CU_2_XLPE	0.155	0.007885	0.005113	0	0.013154	0.004907	0
9300	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1102958	1102974	0.014	3F_15_CU_2_XLPE	0.155	0.009199	0.005966	0	0.015346	0.005725	0
9301	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1102974	1154508	0.0697	3F_15_CU_2_XLPE	0.155	0.0458	0.0297	0	0.0764	0.0285	0
9302	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154508	1102982	0.0075	3F_15_CU_2_XLPE	0.155	0.004928	0.003196	0	0.008221	0.003067	0
9320	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067125	1154443	0.012	3F_15_CU_2_XLPE	0.155	0.007885	0.005113	0	0.013154	0.004907	0
9321	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154443	1154451	0.0128	3F_15_CU_2_XLPE	0.155	0.008411	0.005454	0	0.01403	0.005234	0
9322	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154451	1154478	0.0184	3F_15_CU_2_XLPE	0.155	0.012091	0.00784	0	0.020169	0.007524	0
9323	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154478	1154494	0.0243	3F_15_CU_2_XLPE	0.155	0.015968	0.010354	0	0.026636	0.009936	0
9341	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154575	1067184	0.012	3F_15_CU_2_XLPE	0.155	0.007885	0.005113	0	0.013154	0.004907	0
9342	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154575	1067184	0.012	3F_15_CU_2_XLPE	0.155	0.007885	0.005113	0	0.013154	0.004907	0
9344	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154575	1154583	0.0186	3F_15_CU_2_XLPE	0.155	0.012222	0.007926	0	0.020388	0.007605	0
9345	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154583	1154591	0.0221	3F_15_CU_2_XLPE	0.155	0.014522	0.009417	0	0.024224	0.009037	0
9351	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154583	1103211	0.0212	3F_15_CU_2_XLPE	0.155	0.013931	0.009034	0	0.023238	0.008669	0
9352	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1103211	1103229	0.0162	3F_15_CU_2_XLPE	0.155	0.010645	0.006903	0	0.017757	0.006624	0
9783	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067117	1154346	0.012	3F_15_CU_2_XLPE	0.155	0.007885	0.005113	0	0.013154	0.004907	0
9784	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154346	1154354	0.0102	3F_15_CU_2_XLPE	0.155	0.006702	0.004346	0	0.01118	0.004171	0
9785	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154354	1154311	0.023	3F_15_CU_2_XLPE	0.155	0.015113	0.009801	0	0.025211	0.009405	0
9811	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067133	1103296	0.012	3F_15_CU_2_XLPE	0.155	0.007885	0.005113	0	0.013154	0.004907	0
9822	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1103296	1103300	0.009	3F_15_CU_2_XLPE	0.155	0.005914	0.003835	0	0.009865	0.00368	0
9823	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1103300	1103326	0.016	3F_15_CU_2_XLPE	0.155	0.010514	0.006818	0	0.017538	0.006542	0
9824	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1103326	1103318	0.0007	3F_15_CU_2_XLPE	0.155	0.00046	0.000298	0	0.000767	0.000286	0
9839	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154389	1067176	0.012	3F_15_CU_2_XLPE	0.155	0.007885	0.005113	0	0.013154	0.004907	0
9840	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154371	1067176	0.012	3F_15_CU_2_XLPE	0.155	0.007885	0.005113	0	0.013154	0.004907	0
9841	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154397	1154389	0.0343	3F_15_CU_2_XLPE	0.155	0.022539	0.014616	0	0.037597	0.014025	0
9842	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154371	1154397	0.0331	3F_15_CU_2_XLPE	0.155	0.02175	0.014104	0	0.036282	0.013534	0
9843	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154397	1154401	0.0478	3F_15_CU_2_XLPE	0.155	0.031409	0.020368	0	0.052395	0.019545	0
9844	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154397	1154214	0.0754	3F_15_CU_2_XLPE	0.155	0.049545	0.032129	0	0.082648	0.030831	0
9944	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067184	1154524	0.012	3F_15_CU_2_XLPE	0.155	0.007885	0.005113	0	0.013154	0.004907	0
