linea,de,a,nodo_de,nodo_a,L_km,conductor,In_kA,en_pdf
40907,2765829,2765837A,2765829,2765837,0.0024,3F_15_CU_2_XLPE,0.155,SI
47594,1101421G,1155741,1101421,1155741,0.0165,3F_15_CU_2_XLPE,0.155,SI
47595,1155741,1155750,1155741,1155750,0.026,3F_15_CU_2_XLPE,0.155,SI
47596,1155750,2789132A,1155750,2789132,0.0332,3F_15_CU_2_XLPE,0.155,SI
47597,2789132A,2789141A,2789132,2789141,0.0096,3F_15_CU_2_XLPE,0.155,SI
714206,1067087C,4249330,1067087,4249330,0.012,3F_15_CU_2_XLPE,0.155,SI
714207,4249330,4249348,4249330,4249348,0.0085,3F_15_CU_2_XLPE,0.155,SI
714208,4249348,4249356,4249348,4249356,0.0111,3F_15_CU_2_XLPE,0.155,SI
714209,4249356,4249372A,4249356,4249372,0.0025,3F_15_CU_2_XLPE,0.155,SI
714525,4938216A,2214148,4938216,2214148,0.0133,3F_15_CU_2/0_XLPE,0.23,SI
717305,1154508,1026682,1154508,1026682,0.0122,3F_15_ACSR_2_AIRE,0.184,SI
717306,1026666A,1026682,1026666,1026682,0.0063,3F_15_ACSR_2_AIRE,0.184,SI
720189,1067079F,5605024,1067079,5605024,0.012,3F_15_CU_2_XLPE,0.155,SI
720190,5605024,5605032,5605024,5605032,0.0097,3F_15_CU_2_XLPE,0.155,SI
720191,5605032,4249330,5605032,4249330,0.0107,3F_15_CU_2_XLPE,0.155,SI
720192,4249330,4249348,4249330,4249348,0.0085,3F_15_CU_2_XLPE,0.155,SI
720193,4249348,1283235,4249348,1283235,0.0122,3F_15_CU_2_XLPE,0.155,SI
720194,5604524A,1283235,5604524,1283235,0.0104,3F_15_CU_2_XLPE,0.155,SI
725649,8338973A,8339694,8338973,8339694,0.0023,3F_15_CU_2_XLPE,0.155,SI
725650,8339694,8339155,8339694,8339155,0.0026,3F_15_CU_2_XLPE,0.155,SI
725659,8339155,8339708,8339155,8339708,0.0128,3F_15_CU_2_XLPE,0.155,SI
725660,8339708,1154508,8339708,1154508,0.0116,3F_15_CU_2_XLPE,0.155,SI
741064,1155245,1155270,1155245,1155270,0.02,3F_15_CU_2_XLPE,0.155,SI
747634,4249372B,4249372D,4249372,4249372,0.0012,3F_15_CU_2_XLPE,0.155,NO
764757,1067052F,9500758,1067052,9500758,0.012,3F_15_CU_2_XLPE,0.155,SI
764758,9500758,9500766,9500758,9500766,0.021,3F_15_CU_2_XLPE,0.155,SI
764759,9500766,9500774,9500766,9500774,0.0221,3F_15_CU_2_XLPE,0.155,SI
764760,9500774,8795266A,9500774,8795266,0.0064,3F_15_CU_2_XLPE,0.155,SI
783432,1154176A,1154176C,1154176,1154176,0.0012,3F_15_CU_2_XLPE,0.155,NO
783433,1154176D,1154176B,1154176,1154176,0.0012,3F_15_CU_2_XLPE,0.155,NO
791042,1101404B,1618750,1101404,1618750,0.0165,3F_15_CU_2_XLPE,0.155,SI
791043,1618750,1618741,1618750,1618741,0.0029,3F_15_CU_2_XLPE,0.155,SI
