nodo,clave,u_09_sin,u_09_con,dU_09,u_12_sin,u_12_con,dU_12,u_15_sin,u_15_con,dU_15
1026666,0,0.997610,0.997739,0.000129,0.997243,0.997373,0.000130,0.997316,0.997445,0.000129
1026682,0,0.997611,0.997739,0.000128,0.997243,0.997373,0.000130,0.997316,0.997446,0.000130
1102958,0,0.997627,0.997756,0.000129,0.997262,0.997392,0.000130,0.997335,0.997464,0.000129
1102974,0,0.997625,0.997753,0.000128,0.997259,0.997389,0.000130,0.997332,0.997461,0.000129
1102982,0,0.997611,0.997740,0.000129,0.997244,0.997374,0.000130,0.997317,0.997446,0.000129
1154508,0,0.997611,0.997740,0.000129,0.997244,0.997374,0.000130,0.997317,0.997447,0.000130
8338973,0,0.997609,0.997737,0.000128,0.997241,0.997371,0.000130,0.997314,0.997444,0.000130
8339694,0,0.997609,0.997738,0.000129,0.997241,0.997371,0.000130,0.997314,0.997444,0.000130
8339708,0,0.997610,0.997739,0.000129,0.997243,0.997373,0.000130,0.997316,0.997445,0.000129
8339155,0,0.997609,0.997738,0.000129,0.997242,0.997371,0.000129,0.997315,0.997444,0.000129
1067079,0,0.997770,0.997888,0.000118,0.997427,0.997546,0.000119,0.997495,0.997614,0.000119
9500766,0,0.997773,0.997891,0.000118,0.997431,0.997550,0.000119,0.997499,0.997617,0.000118
1067052,0,0.997776,0.997894,0.000118,0.997434,0.997553,0.000119,0.997502,0.997621,0.000119
1067087,0,0.997765,0.997883,0.000118,0.997422,0.997541,0.000119,0.997490,0.997609,0.000119
1283235,0,0.997760,0.997878,0.000118,0.997415,0.997534,0.000119,0.997484,0.997603,0.000119
4249330,0,0.997762,0.997880,0.000118,0.997418,0.997537,0.000119,0.997487,0.997606,0.000119
4249348,0,0.997761,0.997878,0.000117,0.997416,0.997535,0.000119,0.997485,0.997603,0.000118
4249356,0,0.997756,0.997874,0.000118,0.997411,0.997530,0.000119,0.997480,0.997598,0.000118
4249372,0,0.997755,0.997873,0.000118,0.997410,0.997529,0.000119,0.997478,0.997597,0.000119
5604524,0,0.997759,0.997877,0.000118,0.997415,0.997534,0.000119,0.997483,0.997602,0.000119
5605024,0,0.997767,0.997885,0.000118,0.997424,0.997543,0.000119,0.997492,0.997611,0.000119
5605032,0,0.997765,0.997883,0.000118,0.997421,0.997540,0.000119,0.997489,0.997608,0.000119
8795266,0,0.997770,0.997888,0.000118,0.997428,0.997547,0.000119,0.997496,0.997615,0.000119
9500758,0,0.997775,0.997893,0.000118,0.997433,0.997552,0.000119,0.997501,0.997619,0.000118
9500774,0,0.997771,0.997889,0.000118,0.997428,0.997547,0.000119,0.997496,0.997615,0.000119
1067044,0,0.997919,0.998028,0.000109,0.997598,0.997709,0.000111,0.997662,0.997772,0.000110
1067036,0,0.998051,0.998152,0.000101,0.997751,0.997854,0.000103,0.997811,0.997913,0.000102
1154206,0,0.998050,0.998152,0.000102,0.997750,0.997853,0.000103,0.997810,0.997912,0.000102
1154192,0,0.998049,0.998150,0.000101,0.997749,0.997851,0.000102,0.997809,0.997911,0.000102
1154222,0,0.998048,0.998150,0.000102,0.997748,0.997850,0.000102,0.997808,0.997910,0.000102
1154231,0,0.998044,0.998146,0.000102,0.997744,0.997846,0.000102,0.997803,0.997906,0.000103
1154435,0,0.998044,0.998146,0.000102,0.997744,0.997846,0.000102,0.997803,0.997905,0.000102
1154133,0,0.998080,0.998180,0.000100,0.997785,0.997886,0.000101,0.997844,0.997944,0.000100
1154141,0,0.998081,0.998181,0.000100,0.997786,0.997887,0.000101,0.997845,0.997945,0.000100
1154150,0,0.998080,0.998180,0.000100,0.997785,0.997886,0.000101,0.997844,0.997944,0.000100
1154176,0,0.998080,0.998179,0.000099,0.997784,0.997885,0.000101,0.997843,0.997943,0.000100
1154303,0,0.998080,0.998180,0.000100,0.997785,0.997886,0.000101,0.997844,0.997944,0.000100
1067028,0,0.998082,0.998181,0.000099,0.997787,0.997887,0.000100,0.997845,0.997946,0.000101
2765837,0,0.998216,0.998306,0.000090,0.997941,0.998033,0.000092,0.997996,0.998087,0.000091
1154117,0,0.998233,0.998323,0.000090,0.997961,0.998052,0.000091,0.998015,0.998106,0.000091
1067010,0,0.998238,0.998328,0.000090,0.997967,0.998058,0.000091,0.998021,0.998112,0.000091
1154079,0,0.998237,0.998327,0.000090,0.997966,0.998057,0.000091,0.998019,0.998110,0.000091
1154087,0,0.998230,0.998320,0.000090,0.997958,0.998049,0.000091,0.998012,0.998103,0.000091
1154109,0,0.998231,0.998321,0.000090,0.997959,0.998050,0.000091,0.998013,0.998104,0.000091
1154125,0,0.998234,0.998324,0.000090,0.997962,0.998053,0.000091,0.998016,0.998107,0.000091
2765811,0,0.998230,0.998321,0.000091,0.997958,0.998049,0.000091,0.998012,0.998103,0.000091
2765829,0,0.998217,0.998308,0.000091,0.997943,0.998034,0.000091,0.997998,0.998089,0.000091
1069683,0,0.998338,0.998423,0.000085,0.998083,0.998169,0.000086,0.998133,0.998219,0.000086
1069527,0,0.998563,0.998636,0.000073,0.998342,0.998416,0.000074,0.998385,0.998460,0.000075
1069519,0,0.998613,0.998684,0.000071,0.998400,0.998472,0.000072,0.998442,0.998514,0.000072
1069501,0,0.998750,0.998814,0.000064,0.998558,0.998623,0.000065,0.998596,0.998661,0.000065
1069497,0,0.998921,0.998977,0.000056,0.998755,0.998811,0.000056,0.998788,0.998844,0.000056
1069489,0,0.999112,0.999158,0.000046,0.998976,0.999022,0.000046,0.999003,0.999049,0.000046
1069471,0,0.999334,0.999369,0.000035,0.999232,0.999266,0.000034,0.999252,0.999287,0.000035
1069454,0,0.999461,0.999489,0.000028,0.999378,0.999406,0.000028,0.999394,0.999422,0.000028
1069446,0,0.999539,0.999563,0.000024,0.999468,0.999492,0.000024,0.999482,0.999506,0.000024
1069438,0,0.999849,0.999857,0.000008,0.999826,0.999834,0.000008,0.999831,0.999839,0.000008
1067001,0,0.999983,0.999984,0.000001,0.999981,0.999982,0.000001,0.999981,0.999982,0.000001
Terminal(1),0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000
